filename,title,description,feature,topic,audience,role,level
./help/intro-to-analytics/analytics-basics/logging-in-to-adobe-analytics.md,Sign in to Adobe Analytics,"In this video, you'll learn how to sign in and administer Analytics and begin your analysis.",Analytics Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/analytics-basics/intro-to-the-analytics-ui.md,Intro to the Analytics UI,"This video orients you to the Adobe Analytics interface, and shows you where you will find the tools you will need as you implement and as you do analysis.",Analytics Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/analytics-basics/understanding-and-creating-report-suites.md,Understanding and Creating Report Suites,"This video will help you understand what report suites are, and will show you how to create them in the interface, so that you can track and optimize the people coming to your site.",Analytics Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/analytics-basics/adobe-labs-technology-previews.md,Adobe Labs (Technology Previews) with Adobe Analytics,"Adobe Labs (Technology Previews) allows you to engage with emerging technologies, to discover valuable insights, and to influence future Analytics feature development & priorities.",Analytics Basics,,,Architect,Beginner
./help/intro-to-analytics/customizing-the-ui/adding-dimension-and-metric-descriptions.md,Adding Dimension and Metric Descriptions in Adobe Analytics,"This video takes you through how to add context to your reports, metrics and dimensions in Adobe Analytics.",Workspace Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/using-custom-color-palettes-in-analysis-workspace.md,Using Custom Color Palettes in Analysis Workspace,"You can change the color palette used in Analysis Workspace to better align with your brand, or that of your customers.",Workspace Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/color-eyedropper-extension-for-defining-custom-palettes.md,Color Eyedropper Extension for Defining Custom Palettes,Learn how to use the ColorPick EyeDropper Chrome extension to easily find the hex values you need for a custom color palette in your Workspace projects.,Workspace Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/customizing-the-menu-in-reports-and-analytics.md,Customizing the Menu in Reports and Analytics,This video takes you through how to customize the menus in Analytics for your business.,Analytics Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/enhancing-security.md,Enhancing Security in Adobe Analytics,"Adobe Analytics is up to the latest security standards. If your organization wants to extend that security with things like strong passwords and IP login restrictions, this video will show you how.",Analytics Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/set-analysis-workspace-as-your-landing-page.md,Set Analysis Workspace as your landing page in Adobe Analytics,This video shows how you can set various aspects of Analysis Workspace as your landing page in Adobe Analytics to streamline your workflows.,Workspace Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/setting-an-analysis-workspace-project-as-your-landing-page.md,Setting an Analysis Workspace Project as your Landing Page,This video takes you through how to set a project as the landing page.,Workspace Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/customizing-the-ui/dark-mode-extension-for-analysis-workspace.md,Dark Mode Extension for Analysis Workspace,Enable the Dark Reader Chrome extension to turn Analysis Workspace dark.,Workspace Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/getting-help/in-product-tips.md,Analysis Workspace In-Product Tips,"Workspace Tips provide a quick learning directly in Analysis Workspace, with links to related videos so you can see each tip in action.",Workspace Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/getting-help/in-product-support-ticket-submission.md,In-product Support Ticket Submission,"You can now submit a Customer Care support ticket directly in the UI, streamlining the process toward resolution.",Analytics Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/getting-help/getting-help.md,Getting Help in Adobe Analytics,"At some point, we are all going to need help with Adobe Analytics. This videos shows you some of the great resources that are at your fingertips as you hit a snag and need some help.",Analytics Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/analysis-workspace/analysis-workspace-basics/analysis-workspace-introduction.md,Quick Introduction To Analysis Workspace ,Quick overview of Analysis Workspace to learn how the product supports data novices and experts.,Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/analysis-workspace-overview.md,Analysis Workspace Overview,"High-level overview of the Adobe Analytics Solution's Analysis Workspace, including project creation and templates, panels, visualizations, dimensions, metrics, segments, and high-value features and techniques.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/starting-your-first-project-in-analysis-workspace.md,Starting Your First Project in Analysis Workspace,"In this video you will learn how to create a project in Analysis Workspace using default and custom templates, and how to copy elements between projects.",Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/creating-new-analysis-workspace-projects.md,Creating New Analysis Workspace Projects,"In this video you will learn how to use the Analysis Workspace New Project modal to create a project from a blank canvas, from an Adobe Standard Template or from a Custom Template. You can even search and sort your templates in the modal to find one that fits your need.",Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/create-manage-custom-templates-in-analysis-workspace.md,Create and Manage Custom Templates in Analysis Workspace,"In this video you will learn how to create custom templates in Analysis Workspace, so that you and your team can start from a specific set of reports.",Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/standard-templates-in-analysis-workspace.md,Standard Templates in Analysis Workspace,Analysis Workspace gives you a head start on your analysis with Standard Templates (formerly called Starter Projects),Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/using-custom-templates-to-enable-novice-users.md,Using custom templates to enable novice Analysis Workspace users,This video demonstrates how to bring together custom templates with copy + paste/insert capabilities to better serve novice users in your organization.,Projects,,,Business Practitioner,Intermediate
./help/analysis-workspace/analysis-workspace-basics/understanding-how-data-gets-into-your-analysis-workspace-project.md,Understanding How Data Gets into Your Analysis Workspace Project,"This video shows you how to see the flow of data from your page to the tables and visualizations in Analysis Workspace, using the Adobe Experience Cloud Debugger extension in Chrome.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/component-management-in-analysis-workspace.md,Component Management in Analysis Workspace,"You can manage your dimensions, segments, metrics, and date ranges directly in Analysis Workspace. No need to leave your project while you go find a segment to share.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/using-component-managers.md,Using Component Managers in Adobe Analytics,"This video shows how to use the Alerts and Scheduled Projects component managers in Adobe Analytics, along with some additional features. Learn how to easily find the Alert or Scheduled Project you’re looking for as well as Enable/Disable Alerts. ",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/analysis-workspace-basics/selecting-a-report-suite-in-analysis-workspace.md,Selecting a Report Suite in Analysis Workspace,This video takes you through the report suite selector.,Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/tips-and-tricks/seven-tips-and-tricks-in-analysis-workspace.md,7 Tips and Tricks That Make Creating Custom Analytics Projects Faster and Easier,"Analysis Workspace is a powerful tool within Adobe Analytics that can help you create more impactful analytics projects. It has a vast feature set that allows you to do any kind of freeform analysis, but a simple user experience that makes this power and scale accessible.",Workspace Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/analysis-workspace/tips-and-tricks/tips-to-increase-productivity-in-analysis-workspace.md,Tips to Increase Productivity in Analysis Workspace,"In this video, we'll run through 4 tips for increasing your productivity and saving time in Analysis Workspace.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/tips-and-tricks/customer-tips-for-continuing-your-adobe-analytics-learning-journey.md,Customer Tips for Continuing your Adobe Analytics Learning Journey,"In this article, meet three Adobe customers who have tips and tricks for you regarding how to get the most value from Adobe Analytics.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/training-tutorial-template-in-analysis-workspace.md,Training Tutorial Template in Analysis Workspace,The Analysis Workspace Training Tutorial walks users through common terminology and steps for building their first analysis in Workspace. ,Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/copy-insert-analysis-workspace.md,Copy and Insert in Analysis Workspace,"Copy + Insert lets you copy visualizations from one panel or project to another, and copy full panels across projects as well.",Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/create-a-toc-in-analysis-workspace.md,Create a Table of Contents in Analysis Workspace,"Learn how to construct a table of contents Workspace project, and set it as your users' landing page so that they can quickly find the data & insights they need in Adobe Analytics.",Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/right-click-for-workspace-efficiency.md,Right-click for Workspace Efficiency,"Learn about all of our favorite Analysis Workspace right-clicks and how to use them. From Freeform Tables to Fallout Visualizations, right-clicking will make you more efficient and proficient in Workspace.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/keyboard-shortcuts.md,Keyboard Shortcuts in Analysis Workspace,"This video goes through keyboard shortcut options in Analysis Workspace, to show you how to move more quickly and efficiently. ",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/menu-bar.md,Menu Bar in Analysis Workspace,Analysis Workspace just got even easier to control and navigate with updated menus that organize the various options for managing projects and analysis into familiar categories.,Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/project-management-in-analysis-workspace.md,Project Management in Analysis Workspace,This video shows how you can manage projects that you create in Analysis Workspace in Adobe Analytics.,Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/undoing-actions-in-analysis-workspace.md,Undoing actions in Analysis Workspace,"Analysis Workspace in Adobe Analytics now allows you to ""undo"" actions such as dragging an item onto the canvas or performing a breakdown. This video shows how you can use undo to be more efficient in your analysis.",Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/view-density-in-analysis-workspace.md,View Density in Analysis Workspace,"The View Density setting under Project > Info & Settings allows you to control the vertical padding applied to the left rail and tables (Freeform & Cohort). You can choose between Expanded (default), Comfortable, or Compact.",Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/zero-state-improvements.md,Zero State Improvements in Analysis Workspace,"Zero State is the opening layout of Analysis Workspace. To help both novice and seasoned users get value out of Analysis Workspace, we've improved the left rail, blank panel, freeform table, and drop zones to be more intuitive to users.",Projects,,,Business Practitioner,Beginner
./help/analysis-workspace/navigating-workspace-projects/using-filters-tags-in-the-left-rail.md,Using Filters (Tags) in the Left Rail,Filters (or tags) are a quick and easy way to filter the left rail in Analysis Workspace to find the components you need. Leverage out-of-the-box tags provided by Adobe or add your own custom tags to organize related components.,Workspace Basics,,,Business Practitioner,Beginner
./help/analysis-workspace/using-panels/using-tables-visualizations-and-panels.md,"Using Tables, Visualizations, and Panels in Analysis Workspace","In this video you will learn how to use the building blocks of your Analysis Workspace project, namely panels, tables, and visualizations. These elements are the canvas upon which your data is painted.",Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/using-panels/quick-insights-panel-in-analysis-workspace.md,Quick Insights Panel in Analysis Workspace,Quick Insights provides guidance for non-analysts and new users of Analysis Workspace to learn how to answer business questions quickly and easily.,Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/attribution-iq/using-the-attribution-iq-panel.md,Using the Attribution IQ Panel in Analysis Workspace,"In this video, you will see the Attribution IQ Panel, a great place to start as you build out your attribution Analysis Workspace project.",Attribution,,,Business Practitioner,Intermediate
./help/analysis-workspace/using-panels/media-concurrent-viewers-panel-in-analysis-workspace.md,Media Concurrent Viewers Panel in Analysis Workspace,"For Media Analytics customers, the Media Concurrent Viewers panel enables you to understand where peak concurrency occurred or where drop-offs happened to provide valuable insight into the quality of content and viewer engagement, and to help with troubleshooting or planning for volume/scale.",Panels,,,Business Practitioner,Intermediate
./help/analysis-workspace/using-panels/using-drop-down-filters.md,Using Drop-Down Filters in Analysis Workspace,In this video you will learn how to use drop-down filters in Analysis Workspace to dynamically change the contents of a panel.,Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/using-panels/panel-level-segments.md,Panel Level Segments in Analysis Workspace,A brief overview of how to apply segments at the panel level,Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/using-panels/using-panels-to-organize-your-analysis-workspace-projects.md,Using Panels to Organize your Analysis Workspace Projects,"Panels are a collection of visualizations in Analysis Workspace. Blank panels and freeform panels are places to start your analysis, while Attribution IQ and Segment Comparison do a lot of the heavy lifting for more advanced analyses. We've also now added a ""+"" panel button so you can add blank panels on-the-fly.",Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/using-panels/segment-dropzone-improvements.md,Segment Drop Zone Improvements in Analysis Workspace,Segment drop zones have been improved so you can truly drop anything anywhere in a project.,Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/using-panels/multiple-report-suites-in-analysis-workspace.md,Multiple Report Suites in Analysis Workspace,Multiple report suites can be analyzed in a single Workspace project by selecting suites at the panel level. This allows you to conduct side-by-side panel analysis across different sets of data.,Panels,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/using-the-left-rail-to-build-freeform-tables-in-analysis-workspace.md,Using the Left Rail to Build Freeform Tables in Analysis Workspace,"Learn how to use the left rail in Analysis Workspace to find, create, and add items to freeform tables.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/auto-build-freeform-tables-in-analysis-workspace.md,Auto-Build Freeform Tables in Analysis Workspace,"Drop components directly into a blank project, panel or freeform table, and a table will automatically be built for you in a recommended format.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/working-with-dimensions-in-a-freeform-table.md,Working with Dimensions in a Freeform Table,"Learn all about working with dimensions in freeform tables, including adding them, sorting, filtering, breaking them down by other dimensions, etc.",Dimensions,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/working-with-metrics-in-a-freeform-table.md,Working with Metrics in a Freeform Table,Learn the various ways that you can use metrics in a Freeform Table in Analysis Workspace.,Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/using-participation-metrics-in-analysis-workspace.md,Using Participation Metrics in Analysis Workspace,Use this simple trick to get any participation metric in Analysis Workspace anytime.,Metrics,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/row-and-column-settings-in-freeform-tables.md,Row and Column Settings in Freeform Tables,"Learn about the settings in Freeform Tables in Analysis Workspace, and how they affect the data coming into those tables.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/using-the-freeform-table-builder-in-analysis-workspace.md,Using the Freeform Table Builder in Analysis Workspace,"Freeform Table Builder allows you to drag & drop in many dimensions, breakdowns, metrics and segments to build tables that answer more complex business questions. Data will not update on-the-fly; instead, it will update once you click ""Build"", saving you time since the table only updates once.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/reordering-static-rows-in-analysis-workspace.md,Reordering Static Rows in Analysis Workspace,"You can manually reorder static rows within Freeform Table Builder. This allows you to arrange table static rows in the exact order you need them - for example, Visits, then Orders, then Conversion Rate.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/attribution-iq/using-attribution-iq-in-freeform-tables.md,Using Attribution IQ in Freeform Tables,Attribution IQ allows you to change the attribution model to any of ten rules-based models on a Freeform column on the fly.,Attribution,,,Business Practitioner,Intermediate
./help/analysis-workspace/building-freeform-tables/using-the-right-click-menu.md,Using the Right-Click Menu in Analysis Workspace,Learn how to use the right-click menu in Analysis Workspace to do faster breakdowns and more.,Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/continued-right-click-menu-in-analysis-workspace.md,Continued Right-click Menu in Analysis Workspace,Analysis Workspace includes powerful right-click menus which include a number of powerful features. This video explains how to work with right-click menus inside of Analysis Workspace.,Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/cross-sell-analysis-workspace.md,Cross Sell Analysis in Analysis Workspace,"The Cross Sell report in Reports & Analytics displays the relationship between products in the same product string, so you can analyze what products are purchased together. In this video, we show you how to create the Cross Sell report in Analysis Workspace, and extend it even further to any multi-valued dimension or classification.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/freeform-table-filters.md,Freeform Table Filters in Analysis Workspace,Filters provide more control over what rows of data are shared in a freeform table.,Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/time-parting-dimensions-in-analysis-workspace.md,Time-parting Dimensions in Analysis Workspace,"Time-parting takes the timestamp of collected hits and breaks it into more meaningful dimensions, such as ""Hour of Day"" or ""Day of Week"". These dimensions are now out-of-the-box in Analysis Workspace.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/building-freeform-tables/freeform-table-totals-in-analysis-workspace.md,Freeform Table Totals in Analysis Workspace,"In this video you will see some updates to Freeform Table totals, including the ability to remove totals.",Freeform Tables,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/data-visualization-in-analysis-workspace.md,Data Visualization in Analysis Workspace,This session is all about visualizations within Analysis Workspace. You will learn skills and actions that will help you provide powerful insights to your organization in the most consumable format.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/visualization-types.md,Visualization Types in Analysis Workspace,"Analysis Workspace includes area graphs, donut graphs, horizontal bar graphs, and many other visualizations to help you with your analysis.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/selecting-data-to-visualize.md,Selecting data to visualize in Analysis Workspace,Learn how to precisely control what gets visualized when in Freeform Analysis,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/line-visualization-in-analysis-workspace.md,Line Visualization in Analysis Workspace,"The Line visualization depicts metrics over a trended time period. Visualization settings enable you to customize how each line visual looks, and includes settings for Show X/Y-axis, Show min/max labels, and Show trend line.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/adding-trendlines-to-line-visualizations.md,Adding Trendlines to Line Visualizations,"Under Visualization Settings, you can choose to add a regression or moving average trendline to your line series which can help to depict a clearer pattern in the data. Options include Linear, Logarithmic, Exponential, Power, Quadratic, and Moving Averages.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/bullet-graph-visualization.md,Bullet Graph Visualization in Analysis Workspace,Bullet graphs are a useful way to show progress toward (or in excess of) a goal in your analysis. They provide you with another way to visualize your organization's success.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/histogram-visualization.md,Histogram Visualization in Analysis Workspace,"Histograms allow you to visualize the distribution of a metric across your visitors, visits, and now hits, to find high- and low-value segments.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/map-visualization.md,Map Visualization in Analysis Workspace,"This video shows you how to use the new Map visualization in Analysis Workspace. The Map viz will allow you to view either mobile (lat/long) or web (IP address) data against a dynamic map, allowing you to get an idea of customer usage in the context of their location.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/summary-number-and-summary-change-visualizations.md,Summary Number and Summary Change Visualizations in Analysis Workspace,This video shows how to use the Summary Number and Summary Change visualizations in the Analyst Workspace.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/using-the-cumulative-average-function-to-apply-metric-smoothing.md,Using The Cumulative Average Function To Apply Metric Smoothing,"The longer the time period that a metric is trended, the more difficult it is to tell directional trends for the metric. To solve this, the Cumulative Average function in Calculated Metrics can be used to apply smoothing to metrics in Analysis Workspace.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/flexible-layouts.md,Flexible Layouts in Analysis Workspace,"Freeform Analysis includes the ability to change location, width, and height of graphs and tables so that you can build a richer project. This video shows how you can change your layout.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/changing-the-scale-axis-on-visualizations.md,Changing the scale/axis on visualizations in Analysis Workspace,This video shows how you can easily change the scale (or axis limits) for the Y-axis on a line graph in the Analysis Workspace to make data harder for you and others to misinterpret.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/dimension-graph-live-linking.md,Dimension-Graph Live Linking in Analysis Workspace,"We don't quite know what to call this, but it's sneaky-cool. When you create a line graph from a dimension value, you can now select different dimension values and change the graph dynamically. Watch the video to learn more!",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/granularity-toggle.md,Granularity Toggle in Analysis Workspace,"A granularity selector has been added to trended visualization settings to allow you to very easily adjust your data granularity from minute all the way up to year. The setting will adjust both the graph and the source table, saving you the steps of unhiding and manipulating the table.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/intra-linking-in-analysis-workspace.md,Intra-linking in Analysis Workspace,Intra-linking allows analysts building projects in Analysis Workspace to drive readers of the project to exact panels and visualizations within the project.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/positive-negative-map-theme.md,Positive-Negative Map Theme in Analysis Workspace,The new positive/negative color theme allows you to clearly depict positive versus negative numbers on a map. This new theme will also respect any polarity changes you make when you set up the event (in Admin) or create it in calculated metrics.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/rearranging-and-resizing-visualizations.md,Rearranging and Resizing Visualizations in Analysis Workspace,"This video shows how to create a customized layout by resizing, rearranging, and reorganizing visualizations and tables in Analysis Workspace.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/rich-text-editor-in-analysis-workspace.md,Rich Text Editor in Analysis Workspace,"Walk-through of some new features that allow analysts and marketers to apply editing to text visualizations (or descriptions) in Analysis Workspace - Bold, Italics, Headings, Hyper links, and more.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/series-label-editing.md,Series Label Editing in Analysis Workspace,Walk-through of some new features that allow analysts and marketers to adjust the labels in charts to suit your visualization needs.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/hundred-percent-stacked-visualizations.md,100% Stacked Visualizations In Analysis Workspace,"In this video, you will learn how to set your stacked visualizations as percentages instead of only raw values.",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/table-data-source-settings.md,Table Data Source Settings in Analysis Workspace,"Data source settings are now available from freeform & cohort tables. Previously, data sources could only be managed from the linked visualizations. Now, from the table settings, you will be able to see what visualizations are linked to it & hide the source table itself. ",Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/build-a-time-parting-heatmap.md,Build a Time-Parting Heatmap In Analysis Workspace,Learn how to take your time-parting analysis to the next level by creating a heatmap visualization of behaviors.,Visualizations,,,Business Practitioner,Beginner
./help/analysis-workspace/visualizations/treemap-and-scatterplot-visualizations.md,Treemap and Scatterplot Visualizations in Analysis Workspace,Analysis Workspace in Adobe Analytics includes two popular visualization types - treemap and scatterplot. This video explains how to use both visualization types in your analysis.,Visualizations,,,Business Practitioner,Beginner
